"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "JSON", "Rust", "Database", "comment", "blank", "total"
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\archive\old_database_stuff.rs", "Rust", 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\address.rs", "Rust", 0, 0, 0, 0, 0, 69, 0, 2, 26, 97
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\database.rs", "Rust", 0, 0, 0, 0, 0, 212, 0, 45, 54, 311
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\init.rs", "Rust", 0, 0, 0, 0, 0, 22, 0, 14, 9, 45
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\mod.rs", "Rust", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\order.rs", "Rust", 0, 0, 0, 0, 0, 153, 0, 15, 43, 211
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\order_item.rs", "Rust", 0, 0, 0, 0, 0, 37, 0, 2, 8, 47
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\order_position.rs", "Rust", 0, 0, 0, 0, 0, 75, 0, 2, 22, 99
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product.rs", "Rust", 0, 0, 0, 0, 0, 388, 0, 17, 64, 469
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product_brand.rs", "Rust", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product_category.rs", "Rust", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product_image.rs", "Rust", 0, 0, 0, 0, 0, 62, 0, 3, 15, 80
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product_review.rs", "Rust", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\product_type.rs", "Rust", 0, 0, 0, 0, 0, 44, 0, 2, 18, 64
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\table.rs", "Rust", 0, 0, 0, 0, 0, 181, 0, 9, 43, 233
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\src\database\test\database_testing.rs", "Rust", 0, 0, 0, 0, 0, 51, 0, 146, 28, 225
